"115年02月06日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","4,613,441,599","8,839,977,070","-4,226,535,471",
"自營商(避險)","21,119,058,169","35,778,667,461","-14,659,609,292",
"投信","12,402,283,766","5,589,956,826","6,812,326,940",
"外資及陸資(不含外資自營商)","259,113,586,709","266,266,581,339","-7,152,994,630",
"外資自營商","0","0","0",
"合計","297,248,370,243","316,475,182,696","-19,226,812,453",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

