"115年02月05日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","4,420,308,051","6,260,467,763","-1,840,159,712",
"自營商(避險)","23,180,926,132","42,217,678,060","-19,036,751,928",
"投信","13,316,177,512","10,156,400,101","3,159,777,411",
"外資","216,802,823,330","289,497,322,529","-72,694,499,199",
"合計","257,720,235,025","348,131,868,453","-90,411,633,428",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。"

