"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1477","聚陽","115/01/08","14:00","線上法說會","介紹本公司之營運概況及經營策略等財務業務相關資料","147720251110M002.pdf","147720251110E002.pdf","http://www.makalot.com.tw","","無","查詢"
"1590","亞德客-KY","115/01/29","16:00","線上法說會","公司簡介與營運狀況說明","159020251114M003.pdf","159020251114E003.pdf","https://as-tw.airtac.com/about.aspx?c_kind=5&amp;c_kind2=134&amp;c_kind3=311","","受邀美商高盛亞洲證券舉辦之線上法說會「4Q25 Result Call」。","查詢"
"1590","亞德客-KY","115/01/07","09:00","香港","公司簡介與營運狀況說明","159020251114M003.pdf","159020251114E003.pdf","https://as-tw.airtac.com/about.aspx?c_kind=5&amp;c_kind2=134&amp;c_kind3=311","","受邀參加麥格理資本舉辦之法說會「China Automation Day」。","查詢"
"2303","聯電","115/01/28","17:00","線上法說會","本公司2025年第四季財務暨營運報告。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","http://www.umc.com",法說會影音連結資訊:未輸 ,"無","查詢"
"2313","華通","115/01/13","11:00","泰國","富邦證券舉辦之海外法人座談會","231320251121M001.pdf","231320251121E001.pdf","https://www.compeq.com.tw/accomplishments01_4_2.php","","無","查詢"
"2317","鴻海","115/01/13 至 115/01/20","10:00","電話會議","115年1月13日受Goldman Sachs邀請參加投資人會議，說明本公司營運概況。
114年1月15日受Silver Points邀請參加投資人會議，說明本公司營運概況。
114年1月20日受台新證券邀請參加投資人會議，說明本公司營運概況。","231720251112M001.pdf","231720251112E001.pdf","","","無","查詢"
"2328","廣宇","115/01/22","14:00","群益金鼎證券11F會議室(台北市松山區民生東路三段156號11F)","本公司受邀參加群益金鼎證券所舉辦之法人說明會，說明本公司營運概況。","232820260122M001.pdf","232820260122E001.pdf","https://www.panpi.com.tw/tw/investor_service/corporate_governance/investor_meeting",中文影音檔網址:2328_24_20260122_ch.MP4 ,"無","查詢"
"2330","台積電","115/01/15","14:00","台北文華東方酒店B2 文華廳 (台北市松山區敦化北路158號)","(1)公布本公司2025年第4季財務報告及2026年第1季業績展望。(2)參加方式：請參見https://investor.tsmc.com/chinese/quarterly-results/2025/q4","233020260115M001.pdf","233020260115E001.pdf","https://investor.tsmc.com/chinese/quarterly-results/2025/q4",同步收看網址：:https://investor.tsmc.com/chinese/quarterly-results/2025/q4 法說會影音連結資訊:https://investor.tsmc.com/chinese/quarterly-results/2025/q4 ,"無。","查詢"
"2337","旺宏","115/01/27","16:00","線上法人說明會","旺宏電子2025年第四季營運成果報告","233720260127M001.pdf","233720260127E001.pdf","https://www.mxic.com.tw/zh-tw/about/investor-relations/Pages/quarterly-results.aspx",法說會影音連結資訊:未輸 ,"無","查詢"
"2368","金像電","115/01/13","13:15","泰國","本公司受邀參加Morgan Stanley舉辦之座談會","236820260112M001.pdf","236820260112E001.pdf","https://www.gce.com.tw/legal.html","","無","查詢"
"2368","金像電","115/01/15","10:30","泰國","本公司受邀參加富邦證券舉辦之座談會","236820260112M001.pdf","236820260112E001.pdf","https://www.gce.com.tw/legal.html","","無","查詢"
"2379","瑞昱","115/01/28","15:00","網路直播","瑞昱半導體將於115年01月28日(三)舉行2025年第4季線上法人說明會。
時間：3:00-4:00 pm
語言: 英文
直播網址：https://www.zucast.com/webcast/WWW1zDls建議參與者於法說會前安裝或升級所需播放軟體，或至http://www.zucast.com/help 尋求技術支援。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.realtek.com",同步收看網址：:https://www.zucast.com/webcast/WWW1zDls 法說會影音連結資訊:未輸 ,"無","查詢"
"2408","南亞科","115/01/19","15:00","線上法說會","2025年第4季營運狀況說明","240820260119M001.pdf","240820260119E001.pdf","https://www.nanya.com/tw/",法說會影音連結資訊:https://www.nanya.com/tw/IR/13/Investor Calendar?Year=2026 ,"無","查詢"
"2441","超豐","115/01/27","14:30","線上法人說明會","報告2025年度營運成果及未來之營運展望","244120260127M001.pdf","244120260127E001.pdf","https://www.greatek.com.tw/investor4.html",同步收看網址：:https://videoweb.zucast.com/webcast/hJbcB1mQ 法說會影音連結資訊:https://videoweb.zucast.com/webcast/hJbcB1mQ ,"直播連結 https://videoweb.zucast.com/webcast/hJbcB1mQ","查詢"
"2454","聯發科","115/01/05 至 115/01/06","08:00","拉斯維加斯","公告本公司115年1月5日至1月6日受邀參加野村證券於拉斯維加斯舉辦之Nomura @CES 2026，簡報資料請參閱公開資&#8206;訊觀測站。&#8206;","245420251031M001.pdf","245420251031E001.pdf","","","無","查詢"
"2474","可成","115/01/13","14:00","線上法說會","本公司受邀參加元大證券舉辦之法人座談會，會中就本公司已公開發佈之財務數字、經營績效等相關資訊進行說明，詳情請參閱公開資訊觀測站。","247420251106M001.pdf","247420251106E001.pdf","",法說會影音連結資訊:未輸 ,"無","查詢"
"2762","世界健身-KY","115/01/12 至 115/01/14","21:00","美國 Grande Lakes Orlando Resort","本公司受邀參加115年1月12日至115年1月14日由ICR主辦之「28th Annual Conference」","276220251208M001.pdf","276220251208E001.pdf","https://investor.worldgymtaiwan.com/shareholders-li-conference","","無。","查詢"
"2881","富邦金","115/01/08","09:00","電話會議","討論富邦金控財務及業務相關資訊","288120260107M001.pdf","288120260107E001.pdf","https://fubon.irpro.co/tw/event.php","","無","查詢"
"2881","富邦金","115/01/15","17:00","電話會議","討論富邦金控財務及業務相關資訊","288120260114M001.pdf","288120260114E001.pdf","https://fubon.irpro.co/tw/event.php","","無","查詢"
"2882","國泰金","115/01/13 至 115/01/15","10:00","線上","本公司受邀參加Goldman Sachs舉辦之投資人會議，說明114年第三季財務業務相關資訊。","288220260112M001.pdf","288220260112E001.pdf","https://www.cathayholdings.com/holdings/ir/events_and_announcements/events","","無","查詢"
"2883","凱基金","115/01/07","10:00","線上法說會","說明本公司之營運概要、財務及業務相關資訊","288320251202M001.pdf","288320251202E001.pdf","https://kgi.irpro.co/tw/investor-conference.php",法說會影音連結資訊:未輸 ,"無","查詢"
"2883","凱基金","115/01/13","09:00","香港","說明本公司之營運概要、財務及業務相關資訊","288320251202M001.pdf","288320251202E001.pdf","",法說會影音連結資訊:未輸 ,"無","查詢"
"2884","玉山金","115/01/08 至 115/01/09","18:00","英國","2025年第3季財業務資訊","288420251117M001.pdf","288420251117E001.pdf","https://www.esunfhc.com/zh-tw/investor-relations/ir-events/investor-conference","","無","查詢"
"2884","玉山金","115/01/13 至 115/01/14","09:30","新加坡、香港","2025年第3季財業務資訊","288420251117M001.pdf","288420251117E001.pdf","https://www.esunfhc.com/zh-tw/investor-relations/ir-events/investor-conference","","無","查詢"
"2885","元大金","115/01/15","10:00","台北","公告本公司擬於民國115年1月15日受邀參加高盛證券舉行之線上投資人會議—Goldman Sachs Asia Financials Corporate Day","288520251125M001.pdf","288520251125E001.pdf","https://www.yuanta.com/TW/IR/Financials/Presentations-and-Events","","無","查詢"
"2886","兆豐金","115/01/05 至 115/01/06","09:00","新加坡","揭露本公司2025年第3季營運概況","288620251125M001.pdf","288620251125E001.pdf","https://www.megaholdings.com.tw/","","本公司受邀參與高盛證券於新加坡舉辦之外資法人投資說明會","查詢"
"2887","台新新光金","115/01/15","09:00","香港","公告本公司將於115年01月15日受邀參加高盛2026 Asia Financials Corporate Day會晤投資機構，說明營運概況。","內容檔案於會前非交易時間公告於公開資訊觀測站","內容檔案於會前非交易時間公告於公開資訊觀測站","https://www.tsholdings.com.tw/tsh/","","無。","查詢"
"2890","永豐金","115/01/05 至 115/01/14","09:00","新加坡實體會議暨線上會議","本公司受邀參加 Goldman Sachs 舉辦之投資人會議，
說明114年第三季財務業務相關資訊
115年1月5日至115年1月6日：新加坡 (實體會議)
115年1月14日：線上","289020251226M001.pdf","289020251226E001.pdf","https://www.sinopac.com/irCalendar/list.html","","無","查詢"
